GEOID_ZCTA,total_pop,race_total,race_white,race_black,race_native,race_asian,race_islander,race_other,race_multi,ethnic_total,ethnic_latino,age_u5,age_5_9,age_10_14,age_15_19,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_65_74,age_75_84,age_gt85
63005,18083,18083,15285,178,19,2104,7,87,403,18083,483,653,1075,1903,1394,813,1203,2104,3455,1365,1297,1952,699,170
63011,38348,38348,34718,679,11,1951,14,167,808,38348,1792,2154,2663,2735,2210,2067,3680,4428,4959,3276,2736,3802,2453,1185
63017,41262,41262,33677,1719,26,4851,0,64,925,41262,1195,1965,2060,2458,2283,1863,3564,4357,5401,2603,3502,5718,3513,1975
63021,57112,57112,48848,1523,103,4236,0,707,1695,57112,1653,3679,3148,3723,4017,2680,7156,7032,8153,4656,3750,5487,2376,1255
63025,8625,8625,8165,40,0,215,21,20,163,8625,290,551,696,631,517,332,751,1230,1269,842,527,754,326,201
63026,22780,22780,21507,184,35,489,25,84,456,22780,696,1334,1468,1731,1530,1075,2385,3171,3350,1859,1551,2065,740,522
63031,47748,47748,26325,17841,110,831,38,273,2330,47748,1265,3096,3500,3279,3497,2912,6664,5363,6392,3387,3142,3275,2092,1149
63033,42544,42544,12190,27787,37,550,0,710,1270,42544,862,2718,2750,2916,3581,2607,5508,4931,5664,2615,2745,3536,1645,1328
63034,18058,18058,5778,11089,53,168,0,88,882,18058,265,739,899,1297,1198,995,1475,2321,2705,1315,1472,2329,924,389
63038,6998,6998,6631,119,0,120,8,0,120,6998,23,168,326,738,592,459,303,639,1344,649,702,765,266,47
63040,8374,8374,7580,88,11,482,0,23,190,8374,178,513,447,650,857,364,616,1015,1450,637,694,717,351,63
63042,19067,19067,10323,7290,0,564,0,55,835,19067,652,1336,1297,1020,975,1747,2654,3110,2146,1181,960,1441,847,353
63043,22582,22582,15619,2558,0,3629,63,100,613,22582,712,1102,1172,1321,1108,1482,3794,3235,2718,1479,1491,1950,1153,577
63044,10535,10535,7726,2105,12,238,0,178,276,10535,849,545,580,693,896,398,1276,1338,1122,779,661,1150,688,409
63045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63049,3446,3446,3249,11,11,87,0,0,87,3446,22,209,278,218,184,153,417,521,508,258,240,325,107,27
63069,4765,4765,4307,234,21,22,0,21,161,4765,147,291,273,294,187,320,625,552,755,379,332,502,206,49
63074,15338,15338,8570,5437,23,459,0,383,466,15338,995,1399,1307,947,735,1245,2414,1833,1812,1048,1024,767,547,260
63088,8526,8526,7751,257,0,318,0,32,168,8526,140,432,455,334,473,670,1654,945,1039,536,548,585,475,380
63105,17619,17619,13549,1144,27,2319,0,133,448,17619,693,453,708,811,3156,2127,2116,1882,1992,787,936,1670,622,358
63114,35005,35005,21469,9470,129,909,0,1979,1049,35005,3956,2512,2460,1718,1946,2378,5739,4706,4165,2338,2591,2824,1241,387
63117,8588,8588,6890,851,4,641,0,6,196,8588,295,394,340,423,389,385,1918,1219,1031,577,620,672,435,185
63119,33844,33844,30026,2564,29,436,0,166,623,33844,767,2333,2150,2024,1883,1758,4203,4170,3622,2385,2412,3351,1892,1660
63120,600,600,7,580,0,5,0,0,7,600,2,47,44,49,39,46,79,55,73,54,37,44,24,8
63121,23552,23552,3260,19310,44,277,0,355,307,23552,275,1441,1530,1025,1389,1643,2924,2640,2639,1549,1977,2783,1491,519
63122,39165,39165,35767,1939,28,669,14,152,596,39165,935,2564,2714,2802,1968,1268,4030,5090,5197,2843,2610,4528,2524,1027
63123,48224,48224,43442,1402,98,1493,23,630,1138,48224,1529,2465,2651,2130,2292,3467,7397,5306,6215,3549,3541,5018,2377,1816
63124,10775,10775,9472,288,48,560,0,270,137,10775,66,641,536,652,593,561,768,1000,1436,703,860,1312,887,826
63125,32549,32549,28726,1698,127,944,3,299,752,32549,701,1900,1690,1614,1649,2193,5010,3873,4515,2447,2274,3089,1498,797
63126,14646,14646,13793,176,5,219,0,208,245,14646,615,822,651,1132,904,457,1702,1941,1878,1196,981,1648,1053,281
63127,5039,5039,4731,82,0,131,0,45,50,5039,139,173,288,455,328,103,311,560,680,315,243,653,467,463
63128,30023,30023,28555,360,54,631,14,42,367,30023,254,1527,1143,1476,1798,1555,3099,2695,3706,2327,2542,4112,2826,1217
63129,52975,52975,50165,1193,50,1045,0,27,495,52975,774,2294,2874,2783,3271,3686,5578,6565,6778,4580,4231,6169,2934,1232
63130,28342,28342,14857,10727,78,1545,17,266,852,28342,822,1276,1205,1347,1689,4153,4619,3273,2610,2161,1692,2730,991,595
63131,17872,17872,16063,305,28,1246,0,42,188,17872,418,892,1167,1462,1282,570,904,1862,3006,1223,1370,2438,1312,384
63132,13378,13378,7005,4542,76,1268,0,59,428,13378,395,1025,916,1068,751,1136,2005,1808,1408,755,643,1006,614,243
63133,7307,7307,645,6493,0,0,0,0,170,7307,119,586,544,504,348,588,1034,656,913,398,508,639,419,171
63134,13704,13704,3753,9114,16,14,0,499,308,13704,826,887,844,1449,979,663,2045,2071,1505,752,972,971,370,196
63135,22450,22450,6380,14582,19,221,15,276,957,22450,540,1784,1476,1630,1289,2000,3001,2615,2947,1702,1271,1619,788,328
63136,42558,42558,3043,37840,171,41,12,252,1200,42558,360,3025,3194,3019,3047,2348,6741,4531,4960,2951,2804,3783,1550,605
63137,13890,13890,2325,11090,8,30,5,93,339,13890,127,1115,1040,1098,940,1129,1713,1595,1673,995,671,1079,476,366
63138,18226,18226,3265,14333,6,0,0,135,487,18226,229,1393,1505,1571,1002,1503,3053,1867,1565,1216,1127,1653,558,213
63140,327,327,104,218,0,0,3,0,2,327,32,21,21,25,30,71,50,12,40,6,21,21,8,1
63141,20411,20411,16004,1489,98,2177,45,74,524,20411,726,1009,799,1064,1300,1189,2143,1886,2988,1740,1272,2397,1590,1034
63143,7070,7070,5467,1130,0,142,0,66,265,7070,234,400,352,434,313,405,1656,1042,846,408,473,589,117,36
63144,8712,8712,7464,329,0,693,9,83,134,8712,335,673,263,438,277,604,2310,1098,1033,615,376,634,290,101
63146,30515,30515,21526,4166,78,3691,0,163,891,30515,764,1997,1245,1112,1321,1832,4884,3653,3381,2076,2291,3283,2359,1081
63147,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63304,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
